artist,title,date
Damien Jurado,The Horizon Just Laughed,2022-12-27T14:46:37.087565
Nicole Atkins,Goodnight Rhonda Lee,2022-12-27T14:46:37.088562
Eilen Jewell,Down Hearted Blues & Green River,2022-12-27T14:46:37.089580
Vampire Weekend,Modern Vampires of the City,2022-12-27T14:46:37.090557
Galactic,Coolin' Off,2022-12-27T14:46:37.091562
Cascadia '10,Pharaohs of Elysium,2022-12-27T14:46:37.116488
Phosphorescent,Here's to Taking It Easy,2022-12-27T14:46:37.118485
Dan Auerbach,Keep It Hid,2022-12-27T14:46:37.121475
Eels,Souljacker,2022-12-27T14:46:37.123504
Lake Street Dive,Freak Yourself Out & Fun Machine,2022-12-27T14:46:37.124504
Willy Mason,Carry On,2022-12-27T14:46:37.125464
Lee Dorsey,The New Lee Dorsey,2022-12-27T14:46:37.127475
Gillian Welch,The Harrow & The Harvest,2022-12-27T14:46:37.128457
Neil Halstead,Palindrome Hunches,2022-12-27T14:46:37.129453
beGun,Yoko,2022-12-27T14:46:37.132445
Atmosphere,Bitter,2022-12-27T14:46:37.134440
Courtney Barnett,Don't Apply Compression Gently,2022-12-27T14:46:37.136434
Allah-Las,Had It All,2022-12-27T14:46:37.165356
US Elevator,Dangerous Love,2022-12-27T14:46:37.168350
Jeremy Messersmith,Franklin Avenue,2022-12-27T14:46:37.170345
Lord Echo,Digital Haircut,2022-12-27T14:46:37.171372
The Pooches,"Another Evening, Another Town",2022-12-27T14:46:37.174365
Naja Rosa,When The Smoke Clears,2022-12-27T14:46:37.177361
The 88,Save Your Breath,2022-12-27T14:46:37.180319
Black Whales,Rattle Your Bones,2022-12-27T14:46:37.183308
Souljazz Orchestra,Cartao Postal,2022-12-27T14:46:37.188296
David Russell,Bach's 'Air on,2022-12-27T14:46:37.189293
Valerie June,Workin’ Woman Blues,2022-12-27T14:46:37.194282
Cayucas,High School Lover,2022-12-27T14:46:37.197272
Sarah Jaffe,Clementine,2022-12-27T14:46:37.199268
Lydia Loveless,More Like Them,2022-12-27T14:46:37.231195
Johnnie Newman,Birds of Paradise,2022-12-27T14:46:37.235198
Rhett Miller,Ziggy Stardust,2022-12-27T14:46:37.239160
Anthony D'Amato,Back Back Back,2022-12-27T14:46:37.241154
Rose Elinor Dougall,Colour of Water,2022-12-27T14:46:37.243176
Under Byen,Palads,2022-12-27T14:46:37.247166
Purple,Beach Buddy,2022-12-27T14:46:37.249133
J. Roddy Walston & The Business,Take It As It Comes,2022-12-27T14:46:37.255117
Mavis Staples,Don't Cry,2022-12-27T14:46:37.258137
