artist,title,date
"""Damien Jurado""","""The Horizon Just Laughed""",2022-12-27T14:52:26.816826
"""Nicole Atkins""","""Goodnight Rhonda Lee""",2022-12-27T14:52:26.817831
"""Eilen Jewell""","""Down Hearted Blues & Green River""",2022-12-27T14:52:26.818821
"""Vampire Weekend""","""Modern Vampires of the City""",2022-12-27T14:52:26.818821
"""Galactic""","""Coolin' Off""",2022-12-27T14:52:26.819818
"""Cascadia '10""","""Pharaohs of Elysium""",2022-12-27T14:52:26.848741
"""Phosphorescent""","""Here's to Taking It Easy""",2022-12-27T14:52:26.849738
"""Dan Auerbach""","""Keep It Hid""",2022-12-27T14:52:26.850738
"""Eels""","""Souljacker""",2022-12-27T14:52:26.851733
"""Lake Street Dive""","""Freak Yourself Out & Fun Machine""",2022-12-27T14:52:26.852743
"""Willy Mason""","""Carry On""",2022-12-27T14:52:26.853729
"""Lee Dorsey""","""The New Lee Dorsey""",2022-12-27T14:52:26.854774
"""Gillian Welch""","""The Harrow & The Harvest""",2022-12-27T14:52:26.855744
"""Neil Halstead""","""Palindrome Hunches""",2022-12-27T14:52:26.856720
"""beGun""","""Yoko""",2022-12-27T14:52:26.858715
"""Atmosphere""","""Bitter""",2022-12-27T14:52:26.860737
"""Courtney Barnett""","""Don't Apply Compression Gently""",2022-12-27T14:52:26.861734
"""Allah-Las""","""Had It All""",2022-12-27T14:52:26.891625
"""US Elevator""","""Dangerous Love""",2022-12-27T14:52:26.894653
"""Jeremy Messersmith""","""Franklin Avenue""",2022-12-27T14:52:26.895616
"""Lord Echo""","""Digital Haircut""",2022-12-27T14:52:26.897610
"""The Pooches""","""Another Evening, Another Town""",2022-12-27T14:52:26.901608
"""Naja Rosa""","""When The Smoke Clears""",2022-12-27T14:52:26.905589
"""The 88""","""Save Your Breath""",2022-12-27T14:52:26.908580
"""Black Whales""","""Rattle Your Bones""",2022-12-27T14:52:26.911573
"""Souljazz Orchestra""","""Cartao Postal""",2022-12-27T14:52:26.912570
"""David Russell""","""Bach's 'Air on""",2022-12-27T14:52:26.914600
"""Valerie June""","""Workin’ Woman Blues""",2022-12-27T14:52:26.918556
"""Cayucas""","""High School Lover""",2022-12-27T14:52:26.919552
"""Sarah Jaffe""","""Clementine""",2022-12-27T14:52:26.921546
"""Lydia Loveless""","""More Like Them""",2022-12-27T14:52:26.948476
"""Johnnie Newman""","""Birds of Paradise""",2022-12-27T14:52:26.950469
"""Rhett Miller""","""Ziggy Stardust""",2022-12-27T14:52:26.954457
"""Anthony D'Amato""","""Back Back Back""",2022-12-27T14:52:26.956485
"""Rose Elinor Dougall""","""Colour of Water""",2022-12-27T14:52:26.957451
"""Under Byen""","""Palads""",2022-12-27T14:52:26.960469
"""Purple""","""Beach Buddy""",2022-12-27T14:52:26.964430
"""J. Roddy Walston & The Business""","""Take It As It Comes""",2022-12-27T14:52:26.970415
"""Mavis Staples""","""Don't Cry""",2022-12-27T14:52:26.972412
"""Berwanger""","""Baby Loses Her Mind""",2022-12-27T14:52:27.032249
"""Super Hi-Fi""","""Q Street (Subatomic Sound System Remix)""",2022-12-27T14:52:27.061205
"""The Lower 48""","""The End""",2022-12-27T14:52:27.064198
"""Moving Panoramas""","""One""",2022-12-27T14:52:27.070149
"""The Pica Beats""","""Palms Will Smoke In Cold Air""",2022-12-27T14:52:27.098074
"""The Acorn""","""Flood Pt. 1""",2022-12-27T14:52:27.101071
"""Low""","""What Part of Me""",2022-12-27T14:52:27.105057
"""Anthony D’Amato""","""Hank Williams Tune""",2022-12-27T14:52:27.107051
"""Big Eyes""","""Stake My Claim""",2022-12-27T14:52:27.109045
"""Malachai""","""Snowflake""",2022-12-27T14:52:27.110042
"""Amor De Dias""","""Jeans Waving""",2022-12-27T14:52:27.112037
"""Ryley Walker""","""The Roundabout""",2022-12-27T14:52:27.114031
"""The Weed Garden""","""Anchors""",2022-12-27T14:52:27.116026
"""Spanish Gold""","""Out on the Street""",2022-12-27T14:52:27.119019
"""OSO""","""Head in the Clouds""",2022-12-27T14:52:27.121012
"""Brandi Carlile""","""Wherever Is Your Heart""",2022-12-27T14:52:27.126997
"""Quilt""","""Tie up the Tides""",2022-12-27T14:52:27.127995
"""Sunwolf""","""Dreamers""",2022-12-27T14:52:27.131985
"""Lyrics Born, featuring Sam Sparro""","""Coulda Woulda Shoulda""",2022-12-27T14:52:27.137036
"""Animal Kingdom""","""Walls of Jericho""",2022-12-27T14:52:27.138994
"""Hunx and His Punx""","""Too Young to Be In Love""",2022-12-27T14:52:27.140960
"""Petit Biscuit""","""Sunset Lover""",2022-12-27T14:52:27.142955
"""The Bad Plus""","""You and I is a Comfort Zone""",2022-12-27T14:52:27.144954
"""Dude York""","""Break Up Holiday""",2022-12-27T14:52:27.145947
"""Chris Pierce""","""Keep On Keeping On""",2022-12-27T14:52:27.146945
"""Hard Proof""","""Lake Tana""",2022-12-27T14:52:27.148965
"""Frazey Ford""","""Firecracker""",2022-12-27T14:52:27.150960
"""Floating Action""","""To Connect""",2022-12-27T14:52:27.151930
"""Jason Myles Goss""","""Black Lights""",2022-12-27T14:52:27.153952
"""Or, the Whale""","""Call and Response""",2022-12-27T14:52:27.154949
"""Sallie Ford and the Sound Outside""","""The Eagle Has Landed""",2022-12-27T14:52:27.155920
"""MIA""","""Paper Planes""",2022-12-27T14:52:27.157947
"""The Budos Band""","""Burnt Offering""",2022-12-27T14:52:27.159936
"""Dutch""","""Just Before The Rain""",2022-12-27T14:52:27.160906
"""The Transmissionary Six""","""Zero G""",2022-12-27T14:52:27.161903
"""Yellow Ostrich""","""Shades""",2022-12-27T14:52:27.169891
"""The Bear""","""On the Shoals""",2022-12-27T14:52:27.170880
"""Bomba Estereo""","""Fuego (Maga Bo Remix)""",2022-12-27T14:52:27.171892
"""Deer Tick""","""Smith Hill""",2022-12-27T14:52:27.173900
"""White Denim""","""Pretty Green""",2022-12-27T14:52:27.175866
"""Sean Bones""","""Dancehall""",2022-12-27T14:52:27.177861
"""Dana Falconberry""","""Crooked River""",2022-12-27T14:52:27.178859
"""Gregory Alan Isakov""","""Big Black Car""",2022-12-27T14:52:27.180852
"""Girl In A Coma""","""Smart""",2022-12-27T14:52:27.183873
"""Polly Paulusma""","""Day One""",2022-12-27T14:52:27.184869
"""Angus and Julia Stone""","""Just a Boy""",2022-12-27T14:52:27.188858
"""Townes Van Zandt""","""Mr. Mudd and Mr. Gold""",2022-12-27T14:52:27.189829
"""The Secret Sisters""","""He's Fine""",2022-12-27T14:52:27.190827
"""Pacifika""","""Me Cai""",2022-12-27T14:52:27.191856
"""Major Lazer""","""Watch Out For This (Bumaye)""",2022-12-27T14:52:27.219782
"""Dengue Fever""","""Mr. Orange""",2022-12-27T14:52:27.221744
"""Eric Lindell""","""Lay Back Down""",2022-12-27T14:52:27.222741
"""The Hermits""","""Ruby Red Summer""",2022-12-27T14:52:27.224735
"""Maria Taylor""","""This Is It""",2022-12-27T14:52:27.225732
"""Booker T Jones and Jolie Holland""","""What A Wonderful World""",2022-12-27T14:52:27.226729
"""The Spines""","""Box of Wine""",2022-12-27T14:52:27.230747
"""Worriers""","""They / Them / Theirs""",2022-12-27T14:52:27.231744
"""Kolidescopes""","""Back to You""",2022-12-27T14:52:27.233711
"""Surreal""","""The Impossible""",2022-12-27T14:52:27.245717
"""Mark  McGuire""","""Wonderland of Living Things""",2022-12-27T14:52:27.248703
"""Cheb I Sabbah""","""Qalanderi""",2022-12-27T14:52:27.251696
"""M. Ward""","""Girl From Conejo Valley (Live In Studio 1A)""",2022-12-27T14:52:27.256678
"""Nikki Lane""","""Jackpot""",2022-12-27T14:52:27.258672
"""Amy Stroup""","""FALLING""",2022-12-27T14:52:27.259669
"""Andrew Combs""","""Foolin'""",2022-12-27T14:52:27.261637
"""Palehound""","""Molly""",2022-12-27T14:52:27.263632
"""Alpine""","""Lovers 1, along with Lovers 2""",2022-12-27T14:52:27.265626
"""Rodrigo Y Gabriela""","""Hanuman""",2022-12-27T14:52:27.266623
"""GIRL MOST LIKELY""","""England""",2022-12-27T14:52:27.269619
"""Billy""","""Bethlehem""",2022-12-27T14:52:27.272643
"""The Chapin Sisters""","""Angeleno""",2022-12-27T14:52:27.274638
"""Matt Bauer (w/ Dana Falconberry)""","""Waiting For Your Shadow""",2022-12-27T14:52:27.276625
"""Austra""","""Painful Like""",2022-12-27T14:52:27.278619
"""Kurt Vile""","""Pretty Pimpin""",2022-12-27T14:52:27.280586
"""Josh Ritter""","""Joy to You Baby""",2022-12-27T14:52:27.281584
"""The Black Watch""","""I Don't Feel The Same""",2022-12-27T14:52:27.284602
"""Eliot Bronson""","""River Runs Dry""",2022-12-27T14:52:27.286598
