artist,title,date
"""Damien Jurado""","""The Horizon Just Laughed""",2023-01-01T17:29:16.418663
"""Nicole Atkins""","""Goodnight Rhonda Lee""",2023-01-01T17:29:16.419666
"""Eilen Jewell""","""Down Hearted Blues & Green River""",2023-01-01T17:29:16.420657
"""Vampire Weekend""","""Modern Vampires of the City""",2023-01-01T17:29:16.420657
"""Galactic""","""Coolin' Off""",2023-01-01T17:29:16.421655
"""Cascadia '10""","""Pharaohs of Elysium""",2023-01-01T17:29:16.448618
"""Phosphorescent""","""Here's to Taking It Easy""",2023-01-01T17:29:16.449595
"""Dan Auerbach""","""Keep It Hid""",2023-01-01T17:29:16.451602
"""Eels""","""Souljacker""",2023-01-01T17:29:16.452573
"""Lake Street Dive""","""Freak Yourself Out & Fun Machine""",2023-01-01T17:29:16.453596
"""Willy Mason""","""Carry On""",2023-01-01T17:29:16.454572
"""Lee Dorsey""","""The New Lee Dorsey""",2023-01-01T17:29:16.455564
"""Gillian Welch""","""The Harrow & The Harvest""",2023-01-01T17:29:16.456563
"""Neil Halstead""","""Palindrome Hunches""",2023-01-01T17:29:16.457559
"""beGun""","""Yoko""",2023-01-01T17:29:16.459563
"""Atmosphere""","""Bitter""",2023-01-01T17:29:16.461550
"""Courtney Barnett""","""Don't Apply Compression Gently""",2023-01-01T17:29:16.463544
"""Allah-Las""","""Had It All""",2023-01-01T17:29:16.491469
"""US Elevator""","""Dangerous Love""",2023-01-01T17:29:16.493498
"""Jeremy Messersmith""","""Franklin Avenue""",2023-01-01T17:29:16.495458
"""Lord Echo""","""Digital Haircut""",2023-01-01T17:29:16.497452
"""The Pooches""","""Another Evening, Another Town""",2023-01-01T17:29:16.500443
"""Naja Rosa""","""When The Smoke Clears""",2023-01-01T17:29:16.502439
"""The 88""","""Save Your Breath""",2023-01-01T17:29:16.503436
"""Black Whales""","""Rattle Your Bones""",2023-01-01T17:29:16.507445
"""Souljazz Orchestra""","""Cartao Postal""",2023-01-01T17:29:16.510446
"""David Russell""","""Bach's 'Air on""",2023-01-01T17:29:16.511447
